string1,string2,number,date
Sub-Ex,Stone,5739.52,1619380354000
Hatity,China,9878.31,1633671943000
Hatity,Brass,8744.43,1649589477000
Sentra,Teal,5514.83,1622641973000
Zoomcast,Glass,2766.0,1638317191000
Kazio,Maroon,4965.9,1621092314000
Divape,Red,1387.36,1632842304000
Muxo,Orange,7489.98,1623845853000
Meezzy,Plastic,3254.98,1641607569000
Jaxnation,Philippines,6987.75,1642417307000
Meembee,Turquoise,1797.4,1637633252000
Thoughtbeat,Ecuador,1483.03,1642160881000
Konklab,Granite,1741.18,1641000267000
Youtags,Brass,4309.6,1655684464000
Summit,Vinyl,1431.89,1648493480000
SL-Class,Orange,2349.86,1624250548000
Stim,Plexiglass,4682.35,1633870724000
Yakijo,Plastic,1622.72,1622109821000
Tin,Orange,1983.05,1652265176000
Suburban 1500,Granite,1975.71,1645040569000
Youbridge,Violet,440.21,1624367192000
Abatz,Czech Republic,160.85,1656213744000
MDX,Portugal,3135.65,1632350873000
Vinder,Mauv,8750.92,1645694104000
Duobam,Purple,7422.35,1643817261000
Bitwolf,Mauv,3918.98,1637682623000
Aerified,Wood,3594.23,1627343822000
Tresom,Green,3591.32,1637388999000
Escape,Green,2191.05,1635824443000
C70,Vinyl,9110.36,1654588640000
Flipstorm,Steel,8052.74,1629059202000
Quire,Steel,9567.13,1643448692000
Zathin,Blue,6845.25,1636103700000
LiveZ,Violet,4260.27,1646162243000
Stronghold,Plastic,9444.4,1630622112000
Yata,Green,7334.79,1625772885000
Gabtype,Crimson,6303.34,1653037240000
Q7,Aquamarine,5809.48,1654638084000
It,Philippines,3800.02,1645147549000
Stim,Stone,4812.38,1662648707000
Mynte,Maroon,6424.59,1625617895000
Thoughtbeat,Turquoise,7014.37,1622426323000
Andalax,Mauv,4025.65,1624187150000
Keylex,Red,9077.8,1654618678000
Jabberbean,Green,4081.71,1620287261000
Linkbuzz,Green,7146.16,1617798435000
Mat Lam Tam,Aquamarine,5209.19,1652721346000
Cardify,Orange,7893.22,1622155454000
Pathfinder,Glass,9291.73,1651591372000
Cookley,Vinyl,9776.5,1661466284000
Blognation,Steel,5869.93,1636204005000
Ram 2500,Maroon,6519.79,1642876752000
Alpha,Nepal,7817.58,1634156664000
Daewoo Magnus,Panama,8107.9,1644599479000
Kanlam,Rubber,5946.32,1642303030000
Zooxo,Blue,5761.3,1662940989000
XL-7,Wood,5360.79,1646046356000
Babbleopia,Granite,90.41,1644275518000
Npath,Vinyl,3779.25,1622822142000
Yodo,Steel,5980.1,1622148887000
Youtags,Rubber,8996.46,1633358025000
Bamity,Yellow,2347.22,1627773424000
TT,France,6440.57,1623697821000
New Beetle,South Korea,4830.58,1630208649000
RL,Plastic,5512.32,1643519344000
Magnum,Fuscia,6973.9,1629880859000
Rhybox,Orange,2518.78,1652107717000
Innotype,Yellow,6008.88,1647805977000
Pacifica,Russia,6474.44,1648624557000
Quinu,Blue,3821.05,1622324983000
Compass,Slovenia,9650.0,1621875940000
Kayveo,Israel,8190.69,1631698493000
Freestar,Plastic,922.15,1624498842000
Einti,Puce,9811.39,1625064384000
Edgeclub,Wood,6241.05,1645097834000
Kwilith,Plastic,3112.05,1657542475000
Jayo,Orange,9954.09,1659088342000
Gabcube,Indigo,1380.99,1655344702000
LeSabre,China,977.58,1629527707000
Feedmix,Plastic,6483.19,1656398398000
Namfix,Russia,2283.13,1657409981000
Konklux,Aluminum,7121.75,1627833609000
Redhold,Plastic,7609.86,1656752580000
Zontrax,Yellow,8274.01,1621797442000
Kazio,France,3896.64,1647868876000
Oyope,Russia,9040.89,1645910843000
Yadel,Ukraine,1571.74,1653270529000
Konklux,Yellow,7122.58,1632468186000
Kanlam,Aluminum,449.67,1645456619000
Quimba,Fuscia,9609.2,1646698786000
Voltsillam,Steel,3369.36,1653171383000
Zoozzy,China,6012.52,1628095551000
Caravan,Plastic,1121.52,1620071156000
Tres-Zap,Aquamarine,1693.06,1662171030000
Gabvine,Wood,6845.28,1632164647000
Subin,Aquamarine,1450.75,1626229382000
Vimbo,Blue,3312.86,1663324502000
Andalax,Steel,9650.78,1644839570000
Treeflex,Rubber,982.71,1648156935000
Safari,Vinyl,2571.27,1648201752000
Topdrive,Brass,4571.6,1643544700000
Cardguard,Khaki,3898.63,1649447939000
Voltsillam,Steel,9781.61,1659487979000
Skyndu,Vinyl,9441.91,1656331186000
Sonsing,Glass,7966.21,1652418099000
Camry,Turquoise,5388.02,1660870385000
Zamit,Puce,1546.32,1620172179000
Fixflex,Mauv,446.32,1653576958000
Bigtax,Steel,1070.7,1623569870000
Bigtax,Wood,103.27,1621136238000
Edgeblab,Syria,1691.02,1621455090000
Y-Solowarm,Rubber,2426.86,1649708968000
Twitterwire,Wood,1554.83,1661848090000
Matsoft,Glass,839.03,1630100475000
Regrant,Stone,3455.13,1626551634000
Spectra,Aquamarine,339.56,1630745371000
Realblab,Puce,1159.51,1639043639000
Eldorado,Green,6242.43,1626709047000
Plajo,Greece,3866.69,1634507315000
Latlux,Orange,9070.15,1643773655000
Sonsing,North Korea,876.63,1630583132000
Youspan,Blue,6507.56,1661474027000
GTI,Rubber,1100.63,1639831395000
Treeflex,Aquamarine,7025.02,1659357470000
Ntags,Granite,5617.7,1636979052000
Fixflex,Pink,2730.17,1628899423000
Mat Lam Tam,Blue,1977.81,1620761961000
Wikibox,Fuscia,8792.34,1624411621000
Skinte,Plastic,1415.78,1642373190000
Podcat,Russia,8262.34,1619286804000
Thoughtstorm,Orange,3160.77,1631632503000
Livetube,Steel,5978.9,1629505655000
Skyble,Pink,9808.1,1625924076000
Eayo,Stone,8860.44,1643728350000
Vagram,Vinyl,2218.63,1660621747000
Youtags,Green,3074.47,1639848593000
S4,Glass,2048.94,1638044184000
Dabfeed,Russia,3938.48,1647735556000
Flipstorm,Stone,2365.11,1660529354000
Vagram,Philippines,58.06,1630484984000
Y-Solowarm,Rubber,996.42,1634013067000
Avamba,Turquoise,3299.69,1640838521000
Lotlux,Goldenrod,2475.93,1620318551000
Skinder,Green,9306.26,1650462407000
Excursion,Khaki,4403.99,1647035662000
Voonte,Vinyl,3313.3,1621875740000
Zooxo,Stone,9206.75,1658742643000
Photobug,Mauv,8917.4,1641075464000
Jaxworks,Purple,8908.31,1621058820000
Trudoo,Plexiglass,4307.34,1647564252000
Skyvu,Cyprus,4117.47,1636441667000
Dazzlesphere,Vinyl,4819.27,1662595991000
Fixflex,Orange,7771.82,1632024056000
Voltsillam,Puce,1865.52,1622725840000
DabZ,Vinyl,4604.98,1640574594000
Zathin,Steel,8858.46,1618368501000
Patriot,Aluminum,1438.36,1655636777000
Duobam,Vinyl,3853.61,1632628014000
Thunderbird,Puce,2389.12,1639328628000
Avavee,El Salvador,9164.37,1628730133000
Wrapsafe,Indonesia,4063.73,1654891248000
XJ Series,China,2842.62,1661238990000
Bitwolf,Orange,1183.22,1626647691000
Voonder,Turquoise,7742.34,1626489733000
Wrapsafe,Brass,2606.39,1659509548000
Home Ing,Aluminum,1201.85,1657960952000
Vandura 3500,Puce,2987.51,1652959113000
Skyble,Teal,5536.57,1632915472000
Carens,Russia,1673.56,1651808018000
Y-find,Fuscia,1563.17,1617529217000
Job,Plexiglass,4630.73,1651601240000
Opela,Aluminum,9972.23,1636790508000
Redhold,Purple,7778.17,1633191793000
Biodex,Stone,2301.53,1633164561000
Thoughtstorm,Indigo,744.19,1624362847000
Rhyloo,Blue,789.01,1656908181000
Veribet,Brass,4183.5,1624982090000
Sigma,China,7971.18,1639303621000
Tres-Zap,Granite,847.38,1632939022000
Quinu,Plastic,1067.03,1629027995000
Skaboo,Violet,9631.34,1639623936000
Zontrax,Plastic,5635.24,1651723841000
Konklab,Russia,5092.65,1663926683000
Flowdesk,China,6464.53,1647593006000
Riffwire,Steel,2820.59,1628528905000
It,Purple,7281.11,1638482008000
Flowdesk,Turquoise,5454.5,1659422153000
Agivu,Vietnam,1523.13,1624134268000
Youtags,Pink,2088.68,1653318796000
Edgepulse,Plexiglass,1327.3,1649171932000
Zava,Rubber,8369.38,1629561944000
Yodoo,Steel,558.45,1655423332000
Babbleopia,Russia,5132.23,1664063990000
Zathin,Brass,7172.32,1619528605000
Tresom,Brass,4320.47,1643161036000
Fintone,Rubber,7094.27,1643305237000
Topdrive,Aluminum,1339.15,1630267117000
Savana 2500,Rubber,9464.78,1663334272000
Zoonoodle,Brass,5711.39,1651610575000
C-Class,Argentina,9616.06,1629500143000
Sonsing,Khaki,2858.1,1657832651000
X5,Teal,9499.84,1630010985000
Gembucket,Red,352.87,1642754297000
5 Series,Stone,3297.34,1662709485000
Mat Lam Tam,Crimson,1313.1,1632147414000
Meemm,Vinyl,8233.64,1630313743000
Twitternation,Armenia,934.99,1642284220000
Temp,Pink,5919.7,1629758357000
Kazu,Plastic,4898.43,1642392208000
Fintone,Pink,7463.64,1647282640000
Holdlamis,Brass,6140.13,1641002173000
Yabox,Colombia,1488.4,1634555046000
Latlux,Khaki,6162.98,1630542243000
Lotstring,Aluminum,5994.27,1651811917000
Skyble,Germany,2133.76,1638772843000
Ntag,Stone,9923.32,1654617428000
Aibox,Plexiglass,3784.13,1622813357000
Forester,Pink,2574.25,1636241226000
Divavu,Granite,2934.23,1636781832000
Ventosanzap,Turquoise,1588.88,1641879550000
Trilith,Turquoise,5910.86,1643508785000
Katz,Glass,4418.46,1645938667000
Home Ing,Rubber,1841.04,1646150783000
Y-Solowarm,Granite,4862.33,1658468328000
Browsetype,Aquamarine,6651.09,1655108210000
Zoolab,Wood,6245.07,1639128861000
Wrapsafe,South Africa,8642.17,1624862027000
Y-Solowarm,Aluminum,9182.04,1637571343000
Quamba,Maroon,8520.48,1630657440000
Quo Lux,Philippines,174.47,1617721155000
Flashset,Aluminum,975.73,1618904546000
Wikido,Stone,1036.01,1627195866000
Bigtax,Orange,2739.39,1635089947000
Youspan,Wood,1603.06,1662835425000
Greenlam,Colombia,2469.85,1620281170000
Kanlam,Indonesia,3867.74,1632677455000
Sonoma Club Coupe,Wood,8498.68,1640145868000
Stealth,Vinyl,2172.57,1637931155000
Skynoodle,Teal,5620.56,1663579996000
Babblestorm,Poland,3635.98,1639066985000
Bitchip,Yellow,1304.9,1644264963000
Kanlam,Wood,9001.79,1633690321000
Youfeed,Brass,7911.88,1625443521000
Bamity,China,6978.89,1624176909000
Bitwolf,Rubber,6762.88,1662387908000
